,campaign_id,impressions,clicks,installs,spend,CTR,CPI
0,campaign_10,0.0,5429764.0,213682.0,57194.67,inf,0.26766255463726474
1,campaign_13,0.0,0.0,2.0,0.0,,0.0
2,campaign_16,245177026.0,2132984.0,28776.0,18314.5937,0.008699771078877512,0.6364537705031972
3,campaign_4,0.0,0.0,26.0,0.0,,0.0
4,campaign_5,0.0,0.0,1072.0,0.0,,0.0
5,campaign_6,95681244.0,847818.0,3776.0,1422.1974,0.008860858874284703,0.37664126059322034
6,campaign_9,0.0,0.0,541224.0,0.0,,0.0
